ts,kwd_no
2025-11-13 14:56:32,B202
2025-11-13 14:56:32,B203
2025-11-13 14:56:32,B214
2025-11-13 14:56:32,B220
2025-11-13 14:56:32,B221
2025-11-13 14:56:32,B247
2025-11-13 14:56:32,B248
2025-11-13 14:56:32,B249
2025-11-13 14:56:32,B304
2025-11-13 14:56:32,B305
2025-11-13 14:56:32,B306
2025-11-13 14:56:32,B307
2025-11-13 14:56:32,B308
2025-11-13 14:56:32,B309
2025-11-13 14:56:32,B310
2025-11-13 14:56:32,B311
2025-11-13 14:56:32,B312
2025-11-13 14:56:32,B313
2025-11-13 14:56:32,B314
2025-11-13 14:56:32,B315
2025-11-13 14:56:32,B316
2025-11-13 14:56:32,B332
2025-11-13 14:56:32,B341
2025-11-13 14:56:32,B342
2025-11-13 14:56:32,B343
2025-11-13 14:56:32,B344
2025-11-13 14:56:32,B345
2025-11-13 14:56:32,B346
2025-11-13 14:56:32,B347
2025-11-13 14:56:32,B348
2025-11-13 14:56:32,B349
2025-11-13 14:56:32,B353
2025-11-13 15:00:49,B118
2025-11-13 15:00:49,B244
2025-11-13 15:01:02,B036
2025-11-13 15:01:02,B037
2025-11-13 15:01:02,B110
2025-11-13 15:01:02,B111
2025-11-13 15:01:02,B112
2025-11-13 15:01:02,B113
2025-11-13 15:01:02,B114
2025-11-13 15:01:02,B115
2025-11-13 15:01:02,B141
2025-11-13 15:01:02,B160
2025-11-13 15:01:02,B168
2025-11-13 15:01:02,B169
2025-11-13 15:01:02,B174
2025-11-13 15:01:02,B180
2025-11-13 15:01:02,B199
2025-11-13 15:01:02,B200
2025-11-13 15:01:02,B201
2025-11-13 15:01:02,B202
2025-11-13 15:01:02,B203
2025-11-13 15:01:02,B214
2025-11-13 15:01:02,B220
2025-11-13 15:01:02,B221
2025-11-13 15:01:02,B247
2025-11-13 15:01:02,B248
2025-11-13 15:01:02,B249
2025-11-13 15:01:02,B304
2025-11-13 15:01:02,B305
2025-11-13 15:01:02,B306
2025-11-13 15:01:02,B307
2025-11-13 15:01:02,B308
2025-11-13 15:01:02,B309
2025-11-13 15:01:02,B310
2025-11-13 15:01:02,B311
2025-11-13 15:01:02,B312
2025-11-13 15:01:02,B313
2025-11-13 15:01:02,B314
2025-11-13 15:01:02,B315
2025-11-13 15:01:02,B316
2025-11-13 15:01:02,B332
2025-11-13 15:01:02,B341
2025-11-13 15:01:02,B342
2025-11-13 15:01:02,B343
2025-11-13 15:01:02,B344
2025-11-13 15:01:02,B345
2025-11-13 15:01:02,B346
2025-11-13 15:01:02,B347
2025-11-13 15:01:02,B348
2025-11-13 15:01:02,B349
2025-11-13 15:01:02,B353
2025-11-13 15:03:41,B141
2025-11-13 15:03:41,B247
2025-11-13 15:03:41,B352
2025-11-13 15:03:43,B036
2025-11-13 15:03:43,B037
2025-11-13 15:03:43,B110
2025-11-13 15:03:43,B111
2025-11-13 15:03:43,B112
2025-11-13 15:03:43,B113
2025-11-13 15:03:43,B114
2025-11-13 15:03:43,B115
2025-11-13 15:03:43,B141
2025-11-13 15:03:43,B160
2025-11-13 15:03:43,B168
2025-11-13 15:03:43,B169
2025-11-13 15:03:43,B174
2025-11-13 15:03:43,B180
2025-11-13 15:03:43,B199
2025-11-13 15:03:43,B200
2025-11-13 15:03:43,B201
2025-11-13 15:03:43,B202
2025-11-13 15:03:43,B203
2025-11-13 15:03:43,B214
2025-11-13 15:03:43,B220
2025-11-13 15:03:43,B221
2025-11-13 15:03:43,B247
2025-11-13 15:03:43,B248
2025-11-13 15:03:43,B249
2025-11-13 15:03:43,B304
2025-11-13 15:03:43,B305
2025-11-13 15:03:43,B306
2025-11-13 15:03:43,B307
2025-11-13 15:03:43,B308
2025-11-13 15:03:43,B309
2025-11-13 15:03:43,B310
2025-11-13 15:03:43,B311
2025-11-13 15:03:43,B312
2025-11-13 15:03:43,B313
2025-11-13 15:03:43,B314
2025-11-13 15:03:43,B315
2025-11-13 15:03:43,B316
2025-11-13 15:03:43,B332
2025-11-13 15:03:43,B341
2025-11-13 15:03:43,B342
2025-11-13 15:03:43,B343
2025-11-13 15:03:43,B344
2025-11-13 15:03:43,B345
2025-11-13 15:03:43,B346
2025-11-13 15:03:43,B347
2025-11-13 15:03:43,B348
2025-11-13 15:03:43,B349
2025-11-13 15:03:43,B353
2025-11-13 15:06:58,B036
2025-11-13 15:06:58,B037
2025-11-13 15:06:58,B110
2025-11-13 15:06:58,B111
2025-11-13 15:06:58,B112
2025-11-13 15:06:58,B113
2025-11-13 15:06:58,B114
2025-11-13 15:06:58,B115
2025-11-13 15:06:58,B141
2025-11-13 15:06:58,B160
2025-11-13 15:06:58,B168
2025-11-13 15:06:58,B169
2025-11-13 15:06:58,B174
2025-11-13 15:06:58,B180
2025-11-13 15:06:58,B199
2025-11-13 15:06:58,B200
2025-11-13 15:06:58,B201
2025-11-13 15:06:58,B202
2025-11-13 15:06:58,B203
2025-11-13 15:06:58,B214
2025-11-13 15:06:58,B220
2025-11-13 15:06:58,B221
2025-11-13 15:06:58,B247
2025-11-13 15:06:58,B248
2025-11-13 15:06:58,B249
2025-11-13 15:06:58,B304
2025-11-13 15:06:58,B305
2025-11-13 15:06:58,B306
2025-11-13 15:06:58,B307
2025-11-13 15:06:58,B308
2025-11-13 15:06:58,B309
2025-11-13 15:06:58,B310
2025-11-13 15:06:58,B311
2025-11-13 15:06:58,B312
2025-11-13 15:06:58,B313
2025-11-13 15:06:58,B314
